iter	RMSE
0	0.3053616097
1	0.302131465
2	0.2992636777
3	0.296680293
4	0.2942161923
5	0.2919986629
6	0.2899890543
7	0.2881452501
8	0.2865023934
9	0.2849705312
10	0.2835559521
11	0.2822502526
12	0.2809973047
13	0.2799290347
14	0.278847711
15	0.2778993957
16	0.2770138493
17	0.2762140939
18	0.275495876
19	0.2747882485
20	0.2741658662
21	0.2735938176
22	0.2730381701
23	0.2725474649
24	0.2721059306
25	0.2717041382
26	0.2713349658
27	0.2710164569
28	0.270702203
29	0.2704005807
30	0.2701919869
31	0.2699491331
32	0.2697176294
33	0.269531958
34	0.2693384773
35	0.2691276322
36	0.2689602493
37	0.2688086535
38	0.2686775229
39	0.2685412351
40	0.2684165028
41	0.2682895675
42	0.2681841883
43	0.268076016
44	0.2679748772
45	0.2678846077
46	0.2678069232
47	0.2677080124
48	0.2676153231
49	0.2675297835
50	0.2674587137
51	0.2673855859
52	0.2673360031
53	0.267269868
54	0.267223435
55	0.2671492687
56	0.2670995788
57	0.2670404803
58	0.2669322308
59	0.2668757205
60	0.2668194438
61	0.2667763583
62	0.2667367278
63	0.2667007116
64	0.266657982
65	0.2666255985
66	0.2665923736
67	0.2665467544
68	0.266506267
69	0.2664728527
70	0.2664634862
71	0.2664396468
72	0.2664093625
73	0.2663706877
74	0.2663401543
75	0.2662751995
76	0.2662492292
77	0.2662227651
78	0.2661953968
79	0.2661707867
80	0.2661553991
81	0.2661346818
82	0.2661115095
83	0.2660783421
84	0.2659885595
85	0.2659675984
86	0.2659338502
87	0.2659169986
88	0.2658930489
89	0.2658312446
90	0.2657848946
91	0.2657695314
92	0.2657233061
93	0.265684202
94	0.2656579268
95	0.2656057747
96	0.2655438442
97	0.2655219736
98	0.26549497
99	0.2654747717
100	0.2654510913
101	0.2654078297
102	0.2653758099
103	0.2653347819
104	0.2652682023
105	0.2652448057
106	0.2652071407
107	0.2651895022
108	0.2651516653
109	0.2651396374
110	0.2651355417
111	0.2651143954
112	0.2651135754
113	0.2650926448
114	0.2650581802
115	0.2650482465
116	0.2650280679
117	0.2650013583
118	0.2649623711
119	0.2649170678
120	0.2649002616
121	0.2648767872
122	0.2648480566
123	0.2648229458
124	0.2648028235
125	0.2647670655
126	0.2647291823
127	0.2647061411
128	0.2647042261
129	0.2646654218
130	0.2646408569
131	0.2646334882
132	0.2646179922
133	0.2645662004
134	0.2645526895
135	0.2645323525
136	0.2645322602
137	0.2645223186
138	0.2644394179
139	0.2644296482
140	0.2644151784
141	0.264401963
142	0.2643879661
143	0.2643795813
144	0.2643601383
145	0.2643463843
146	0.2643280596
147	0.2643066369
148	0.2642907591
149	0.2642687903
150	0.2642573245
151	0.2642431373
152	0.2642296498
153	0.2641610274
154	0.264123229
155	0.2641065237
156	0.2641054087
157	0.2640925971
158	0.2640789369
159	0.2640416534
160	0.2640221394
161	0.2639939847
162	0.2639577495
163	0.2639496664
164	0.2639332141
165	0.2639173969
166	0.2638898142
167	0.2638642182
168	0.2638403426
169	0.2638167541
170	0.2637635819
171	0.2637453482
172	0.2637284122
173	0.2637284109
174	0.2637119064
175	0.2637018171
176	0.2636939896
177	0.26365629
178	0.2636277381
179	0.2636094386
180	0.2635849481
181	0.263555888
182	0.2635240323
183	0.2635082687
184	0.2634800066
185	0.2634696903
186	0.2634581485
187	0.2634329908
188	0.2634242299
189	0.2634105394
190	0.2633930453
191	0.263346676
192	0.2633362761
193	0.2632985722
194	0.2632902613
195	0.2632690561
196	0.2632441761
197	0.2632125568
198	0.263181723
199	0.2631626497
200	0.2631554109
201	0.263127607
202	0.2631245079
203	0.2630909402
204	0.2630681357
205	0.2630511986
206	0.2630314938
207	0.2630191152
208	0.2630082001
209	0.2629906565
210	0.2629696398
211	0.2629564219
212	0.2629437577
213	0.2629325403
214	0.2629131741
215	0.2628986763
216	0.2628859052
217	0.2628600689
218	0.2628409229
219	0.2627998025
220	0.2627868799
221	0.2627724694
222	0.262768051
223	0.2627451334
224	0.262712975
225	0.2626921178
226	0.262651297
227	0.2626263847
228	0.2626124749
229	0.2625895138
230	0.2625669852
231	0.2625493509
232	0.2625246919
233	0.2624995291
234	0.2624872815
235	0.2624591332
236	0.2624245744
237	0.2623986209
238	0.262353668
239	0.2623193555
240	0.2623094477
241	0.2622662477
242	0.2622505972
243	0.2622362355
244	0.2622318436
245	0.2622061068
246	0.2621771283
247	0.2621544689
248	0.2620983139
249	0.2620620161
250	0.2620360427
251	0.2620055032
252	0.2619771668
253	0.2619557175
254	0.2619286483
255	0.2619155805
256	0.2618825245
257	0.261863401
258	0.2618269647
259	0.2618194848
260	0.2618000636
261	0.2617834451
262	0.2617683496
263	0.2617314066
264	0.2617066969
265	0.2616885003
266	0.2616585913
267	0.2616461206
268	0.2616155424
269	0.2616059466
