iter	Passed	Remaining
0	100	100682
1	134	67044
2	186	62069
3	223	55711
4	260	51768
5	302	50160
6	335	47617
7	379	47007
8	413	45480
9	439	43470
10	483	43459
11	522	42999
12	569	43207
13	604	42574
14	647	42532
15	685	42140
16	723	41859
17	761	41553
18	811	41890
19	856	41982
20	892	41626
21	933	41511
22	964	40972
23	992	40342
24	1026	40021
25	1069	40060
26	1113	40140
27	1142	39653
28	1178	39463
29	1219	39429
30	1262	39452
31	1296	39215
32	1331	39004
33	1374	39046
34	1408	38822
35	1443	38659
36	1489	38771
37	1533	38821
38	1571	38725
39	1614	38757
40	1654	38689
41	1694	38639
42	1736	38636
43	1774	38547
44	1809	38404
45	1850	38374
46	1888	38300
47	1933	38355
48	1973	38309
49	2016	38319
50	2059	38325
51	2101	38320
52	2139	38234
53	2180	38195
54	2227	38278
55	2281	38456
56	2312	38258
57	2372	38536
58	2433	38819
59	2490	39016
60	2539	39086
61	2610	39497
62	2663	39613
63	2706	39576
64	2749	39549
65	2823	39955
66	2898	40361
67	2934	40222
68	2979	40197
69	3017	40088
70	3061	40058
71	3110	40093
72	3153	40046
73	3175	39739
74	3229	39834
75	3302	40146
76	3347	40132
77	3365	39783
78	3402	39668
79	3441	39581
80	3475	39432
81	3511	39316
82	3551	39237
83	3591	39166
84	3635	39136
85	3673	39036
86	3707	38907
87	3752	38885
88	3818	39090
89	3872	39150
90	3913	39088
91	3954	39027
92	3998	38991
93	4040	38947
94	4088	38945
95	4132	38911
96	4184	38950
97	4223	38874
98	4264	38813
99	4319	38871
100	4368	38883
101	4420	38916
102	4464	38877
103	4513	38888
104	4563	38898
105	4604	38833
106	4645	38769
107	4692	38755
108	4739	38741
109	4789	38749
110	4833	38711
111	4881	38705
112	4938	38763
113	4979	38701
114	5029	38708
115	5079	38706
116	5128	38707
117	5169	38636
118	5220	38648
119	5260	38577
120	5306	38551
121	5358	38561
122	5407	38557
123	5449	38500
124	5500	38505
125	5547	38480
126	5590	38426
127	5634	38382
128	5679	38348
129	5715	38252
130	5763	38232
131	5811	38215
132	5850	38136
133	5902	38147
134	5913	37892
135	5960	37865
136	6007	37845
137	6057	37838
138	6109	37843
139	6151	37788
140	6196	37751
141	6242	37718
